orf,gene.x,Anno1,Growth1,gene.y,Anno2,Growth2,name.check,essenflag
YAL001C,TFC3,verified1,growth1,TFC3,verified2,growth2,TRUE,nonessential
YAL002W,VPS8,verified1,growth1,VPS8,verified2,growth2,TRUE,nonessential
YAL003W,EFB1,verified1,nogrowth1,EFB1,verified2,nogrowth2,TRUE,essential
YAL004W,YAL004W,verified1,growth1,YAL004W,verified2,growth2,TRUE,nonessential
YAL005C,ssa1,verified1,growth1,ssa1,verified2,growth2,TRUE,nonessential
YAL007C,ERP2,verified1,growth1,ERP2,verified2,growth2,TRUE,nonessential
YAL008W,FUN14,verified1,growth1,FUN14,verified2,growth2,TRUE,nonessential
YAL009W,spo7,verified1,growth1,spo7,verified2,growth2,TRUE,nonessential
YAL010C,mdm10,verified1,growth1,mdm10,verified2,growth2,TRUE,nonessential
YAL011W,YAL011W,verified1,growth1,YAL011W,verified2,growth2,TRUE,nonessential
YAL012W,cys3,verified1,growth1,cys3,verified2,growth2,TRUE,nonessential
YAL013W,DEP1,verified1,growth1,DEP1,verified2,growth2,TRUE,nonessential
YAL014C,YAL014C,verified1,growth1,YAL014C,verified2,growth2,TRUE,nonessential
YAL015C,NTG1,verified1,growth1,NTG1,verified2,growth2,TRUE,nonessential
YAL016W,tpd3,verified1,nogrowth1,tpd3,verified2,nogrowth2,TRUE,essential
YAL017W,FUN31,verified1,growth1,FUN31,verified2,growth2,TRUE,nonessential
YAL018C,YAL018C,verified1,growth1,YAL018C,verified2,growth2,TRUE,nonessential
YAL019W,FUN30,verified1,growth1,FUN30,verified2,growth2,TRUE,nonessential
YAL020C,ATS1,verified1,growth1,ATS1,verified2,growth2,TRUE,nonessential
YAL021C,ccr4,verified1,growth1,ccr4,verified2,growth2,TRUE,nonessential
YAL022C,FUN26,verified1,growth1,FUN26,verified2,growth2,TRUE,nonessential
YAL023C,PMT2,verified1,growth1,PMT2,verified2,growth2,TRUE,nonessential
YAL024C,lte1,verified1,growth1,lte1,verified2,growth2,TRUE,nonessential
YAL025C,mak16,verified1,nogrowth1,mak16,verified2,nogrowth2,TRUE,essential
YAL026C,DRS2,verified1,growth1,DRS2,verified2,growth2,TRUE,nonessential
YAL027W,YAL027W,verified1,growth1,YAL027W,verified2,growth2,TRUE,nonessential
YAL028W,YAL028W,verified1,growth1,YAL028W,verified2,growth2,TRUE,nonessential
YAL029C,MYO4,verified1,growth1,MYO4,verified2,growth2,TRUE,nonessential
YAL030W,SNC1,verified1,growth1,SNC1,verified2,growth2,TRUE,nonessential
YAL031C,FUN21,verified1,growth1,FUN21,verified2,growth2,TRUE,nonessential
YAL032C,PRP45,verified1,nogrowth1,PRP45,verified2,nogrowth2,TRUE,essential
YAL033W,POP5,verified1,nogrowth1,POP5,verified2,nogrowth2,TRUE,essential
YAL034C,FUN19,verified1,growth1,FUN19,verified2,growth2,TRUE,nonessential
YAL034W-A,MTW1,verified1,nogrowth1,MTW1,verified2,nogrowth2,TRUE,essential
YAL035C-A,YAL035C-A,verified1,nogrowth1,YAL035C-A,verified2,nogrowth2,TRUE,essential
YAL035W,FUN12,verified1,growth1,FUN12,verified2,growth2,TRUE,nonessential
YAL036C,FUN11,verified1,growth1,FUN11,verified2,growth2,TRUE,nonessential
YAL037W,YAL037W,verified1,growth1,YAL037W,verified2,growth2,TRUE,nonessential
YAL038W,cdc19,verified1,nogrowth1,cdc19,verified2,nogrowth2,TRUE,essential
YAL039C,cyc3,verified1,growth1,cyc3,verified2,growth2,TRUE,nonessential
YAL040C,cln3,verified1,growth1,cln3,verified2,growth2,TRUE,nonessential
YAL041W,cdc24,verified1,nogrowth1,cdc24,verified2,nogrowth2,TRUE,essential
YAL042W,ERV46,verified1,growth1,ERV46,verified2,growth2,TRUE,nonessential
YAL043C,pta1,verified1,nogrowth1,pta1,verified2,nogrowth2,TRUE,essential
YAL043C-A,YAL043C-A,verified1,growth1,YAL043C-A,verified2,growth2,TRUE,nonessential
YAL044C,GCV3,verified1,growth1,GCV3,verified2,growth2,TRUE,nonessential
