degreeCutoff,p,lambda,meanLS,medianLS,R,G,GompAIC,WeibAIC
NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5,0.037037037,2.931834042,2.361780607,0.221238769,0.168682524,406.7927158,409.3033356
6,0.6,0.037037037,5.917962685,5.458147943,0.066138692,0.192916764,518.8654251,518.8800945
6,0.7,0.037037037,9.379999391,9.709272925,0.015534554,0.261344822,546.6217281,550.3478512
6,0.8,0.037037037,13.39276109,13.79869334,0.003459334,0.295175887,546.6920356,557.8348064
6,0.9,0.037037037,15.61948743,15.50279235,0.002543988,0.266544053,566.1481399,557.1377006
6,1,0.037037037,18.01845154,17.94947123,0.002370138,0.227509276,593.0884351,579.3729431
6,0.5,0.012345679,9.427190935,8.26626208,0.066987491,0.05571941,639.6080309,641.0866303
6,0.6,0.012345679,19.10624122,18.79935281,0.013385089,0.090016908,722.7458716,722.5422246
6,0.7,0.012345679,26.29708596,26.41690701,0.010896911,0.059407516,795.4123744,801.5250391
6,0.8,0.012345679,37.98780362,37.94889313,0.002874037,0.076145546,795.8871003,781.5616587
6,0.9,0.012345679,45.75420372,46.63044208,0.001163694,0.08322458,793.65636,784.841161
6,1,0.012345679,55.30602055,55.27309409,0.000642203,0.078023493,811.0874787,801.4324854
