degreeCutoff,p,lambda,meanLS,medianLS,R,G,GompAIC,WeibAIC,Gom-WeiAIC
4,0.6,0.037037037,2.4,2.2,0.254182364,0.2321107,365.891912,375.0013709,-9.109458809
4,0.65,0.037037037,3.6,3.3,0.154314427,0.186692746,442.1960007,447.3601663,-5.164165637
4,0.7,0.037037037,4.3,3.9,0.130182758,0.152448903,479.2515064,487.8491766,-8.597670162
4,0.75,0.037037037,6.1,5.9,0.049512539,0.245062477,504.3395497,497.1667265,7.172823206
4,0.8,0.037037037,7.3,6.9,0.025143953,0.296563364,508.3939002,506.1835058,2.210394421
4,0.85,0.037037037,8.7,8.9,0.017286765,0.275787806,535.1988745,542.0385912,-6.839716625
4,0.9,0.037037037,10.8,10.8,0.009014116,0.27646068,546.2776976,543.148055,3.129642648
4,0.95,0.037037037,11.7,11.8,0.004983635,0.312816266,529.2538146,517.6356234,11.61819117
4,1,0.037037037,12.9,13.1,0.0025811,0.338465224,522.1591173,517.3754211,4.78369621
4,0.6,0.012345679,7.0,5.7,0.089771164,0.074671179,581.1798299,587.5853939,-6.40556401
4,0.65,0.012345679,10.5,9.8,0.050020552,0.071377465,653.0920226,659.8532155,-6.761192898
4,0.7,0.012345679,15.5,14.4,0.019509683,0.096331839,692.325049,690.9402068,1.384842138
4,0.75,0.012345679,16.6,15.9,0.021888236,0.074061612,722.1754838,727.7764742,-5.600990452
4,0.8,0.012345679,21.7,21.0,0.010886672,0.083723193,745.1343952,744.6353574,0.499037832
4,0.85,0.012345679,25.1,26.0,0.006619737,0.091122813,749.6597365,750.4047053,-0.744968825
4,0.9,0.012345679,30.4,31.4,0.004173332,0.088417394,762.7735239,749.133801,13.63972281
4,0.95,0.012345679,34.1,34.1,0.001646331,0.108687255,744.9817452,745.8314036,-0.849658399
4,1,0.012345679,38.9,38.9,0.001545976,0.094668402,762.0409057,747.0955925,14.94531319
4,0.6,0.004115226,19.0,15.6,0.039747688,0.016528208,786.3870406,784.3672855,2.019755154
4,0.65,0.004115226,30.8,27.0,0.016661951,0.025515636,865.9624238,875.4422344,-9.47981059
4,0.7,0.004115226,39.6,33.8,0.010593483,0.026705252,902.0926804,899.8711956,2.221484754
4,0.75,0.004115226,51.3,50.4,0.006955463,0.024422527,946.9477606,959.2222536,-12.27449302
4,0.8,0.004115226,66.1,66.2,0.003781705,0.026795266,965.2361421,953.6529097,11.58323237
4,0.85,0.004115226,80.3,78.3,0.00151572,0.033623279,962.6391361,959.9904482,2.648687933
4,0.9,0.004115226,95.2,94.7,0.001256977,0.028870175,990.1905205,986.0557886,4.134731988
4,0.95,0.004115226,105.7,105.0,0.000879442,0.02925167,992.7830979,980.3339077,12.44919024
4,1,0.004115226,118.1,122.2,0.000551129,0.03005911,994.4456217,984.3131214,10.1325003
,,81,,,,,,,
,,243
