id1	id2	tag	tag_counts	selfpairs
YCR084C	YFR031C	YCR084C_YFR031C	1	0
YGL003C	YLR147C	YGL003C_YLR147C	1	0
YDR226W	YKL061W	YDR226W_YKL061W	1	0
YER125W	YPL214C	YER125W_YPL214C	1	0
YBL068W	YOR080W	YBL068W_YOR080W	1	0
YBR162C	YPL093W	YBR162C_YPL093W	1	0
YDL175C	YOR154W	YDL175C_YOR154W	1	0
YBR193C	YML127W	YBR193C_YML127W	1	0
YKR069W	YLL019C	YKR069W_YLL019C	1	0
YJL179W	YMR153W	YJL179W_YMR153W	1	0
YKR025W	YMR017W	YKR025W_YMR017W	1	0
YJR091C	YNL236W	YJR091C_YNL236W	1	0
YGR218W	YPL269W	YGR218W_YPL269W	1	0
YDL043C	YDR468C	YDL043C_YDR468C	1	0
YBR114W	YLR295C	YBR114W_YLR295C	1	0
YOL139C	YOR176W	YOL139C_YOR176W	1	0
YDR099W	YLR295C	YDR099W_YLR295C	1	0
YLR423C	YLR447C	YLR423C_YLR447C	1	0
YGR113W	YPL216W	YGR113W_YPL216W	1	0
YGL026C	YLL026W	YGL026C_YLL026W	1	0
YGL011C	YLR052W	YGL011C_YLR052W	1	0
YDL192W	YPL248C	YDL192W_YPL248C	1	0
YDR479C	YKL068W	YDR479C_YKL068W	1	0
YHR179W	YOR006C	YHR179W_YOR006C	1	0
YDR022C	YGL049C	YDR022C_YGL049C	1	0
YLR094C	YOR136W	YLR094C_YOR136W	1	0
YDR413C	YLR453C	YDR413C_YLR453C	1	0
YDR225W	YLL050C	YDR225W_YLL050C	1	0
YCR002C	YHR096C	YCR002C_YHR096C	1	0
YDL029W	YML015C	YDL029W_YML015C	1	0
YIR009W	YOR020C	YIR009W_YOR020C	1	0
YHR114W	YKL002W	YHR114W_YKL002W	1	0
YDL132W	YIL066C	YDL132W_YIL066C	1	0
YEL036C	YJL031C	YEL036C_YJL031C	1	0
YJR091C	YPR185W	YJR091C_YPR185W	1	0
YDR066C	YJL159W	YDR066C_YJL159W	1	0
YER143W	YPR110C	YER143W_YPR110C	1	0
YBL051C	YKL050C	YBL051C_YKL050C	1	0
YBR088C	YOL131W	YBR088C_YOL131W	1	0
YHR114W	YLR127C	YHR114W_YLR127C	1	0
YDR207C	YHR082C	YDR207C_YHR082C	1	0
YER165W	YPR177C	YER165W_YPR177C	1	0
YJR022W	YNL230C	YJR022W_YNL230C	1	0
YML075C	YNL229C	YML075C_YNL229C	1	0
YHL006C	YMR273C	YHL006C_YMR273C	1	0
YIL046W	YLL021W	YIL046W_YLL021W	1	0
YDL188C	YEL020C	YDL188C_YEL020C	1	0
YLR104W	YNL075W	YLR104W_YNL075W	1	0
YKR026C	YMR071C	YKR026C_YMR071C	1	0
YIL118W	YOR266W	YIL118W_YOR266W	1	0
YGR177C	YKR034W	YGR177C_YKR034W	1	0
YDL012C	YER165W	YDL012C_YER165W	1	0
YJL002C	YNL230C	YJL002C_YNL230C	1	0
YKL205W	YLR347C	YKL205W_YLR347C	1	0
YKR026C	YNL180C	YKR026C_YNL180C	1	0
YBR260C	YLR098C	YBR260C_YLR098C	1	0
YCR086W	YKR100C	YCR086W_YKR100C	1	0
YBR217W	YOR319W	YBR217W_YOR319W	1	0
YNR030W	YPR193C	YNR030W_YPR193C	1	0
YJR064W	YLR120C	YJR064W_YLR120C	1	0
YGR058W	YGR119C	YGR058W_YGR119C	1	0
YDR429C	YJR022W	YDR429C_YJR022W	1	0
YFL008W	YLR328W	YFL008W_YLR328W	1	0
YJL075C	YOR117W	YJL075C_YOR117W	1	0
YPL195W	YPR086W	YPL195W_YPR086W	1	0
YBR055C	YBR109C	YBR055C_YBR109C	1	0
YDL130W	YER020W	YDL130W_YER020W	1	0
YER022W	YHR191C	YER022W_YHR191C	1	0
YMR048W	YOL004W	YMR048W_YOL004W	1	0
YDR023W	YLL004W	YDR023W_YLL004W	1	0
YFL045C	YOR232W	YFL045C_YOR232W	1	0
YDL165W	YGR218W	YDL165W_YGR218W	1	0
YDR315C	YMR190C	YDR315C_YMR190C	1	0
YFL039C	YOR080W	YFL039C_YOR080W	1	0
YDL047W	YKR087C	YDL047W_YKR087C	1	0
YDR031W	YDR388W	YDR031W_YDR388W	1	0
YAR007C	YER051W	YAR007C_YER051W	1	0
YGR144W	YOR191W	YGR144W_YOR191W	1	0
YEL063C	YNL307C	YEL063C_YNL307C	1	0
YBL026W	YOR304W	YBL026W_YOR304W	1	0
YDR318W	YGL127C	YDR318W_YGL127C	1	0
YDR036C	YGR178C	YDR036C_YGR178C	1	0
YER171W	YLR295C	YER171W_YLR295C	1	0
YNL118C	YPR086W	YNL118C_YPR086W	1	0
YBL071C	YML065W	YBL071C_YML065W	1	0
YDR155C	YJL100W	YDR155C_YJL100W	1	0
YIL046W	YKL173W	YIL046W_YKL173W	1	0
YBR141C	YHR114W	YBR141C_YHR114W	1	0
YIL005W	YOR326W	YIL005W_YOR326W	1	0
YIL050W	YOR196C	YIL050W_YOR196C	1	0
YHR011W	YOR098C	YHR011W_YOR098C	1	0
YDR443C	YMR186W	YDR443C_YMR186W	1	0
YER047C	YLR102C	YER047C_YLR102C	1	0
YHR061C	YNR032W	YHR061C_YNR032W	1	0
YER032W	YNL094W	YER032W_YNL094W	1	0
YFL039C	YNR040W	YFL039C_YNR040W	1	0
YER133W	YPL004C	YER133W_YPL004C	1	0
YAL016W	YER075C	YAL016W_YER075C	1	0
YDR313C	YKL092C	YDR313C_YKL092C	1	0
YBR044C	YGL025C	YBR044C_YGL025C	1	0
YBR114W	YLR243W	YBR114W_YLR243W	1	0
YER171W	YMR139W	YER171W_YMR139W	1	0
YGR049W	YMR255W	YGR049W_YMR255W	1	0
YDR365C	YER112W	YDR365C_YER112W	1	0
YFR002W	YLR447C	YFR002W_YLR447C	1	0
YAL066W	YLR423C	YAL066W_YLR423C	1	0
YBR107C	YOR069W	YBR107C_YOR069W	1	0
YDR002W	YOR201C	YDR002W_YOR201C	1	0
YEL048C	YJL064W	YEL048C_YJL064W	1	0
YGR158C	YIL131C	YGR158C_YIL131C	1	0
YER142C	YKR036C	YER142C_YKR036C	1	0
YIL117C	YPL244C	YIL117C_YPL244C	1	0
YGR218W	YLR210W	YGR218W_YLR210W	1	0
YER081W	YHR067W	YER081W_YHR067W	1	0
YER158C	YLL050C	YER158C_YLL050C	1	0
YGR252W	YJR035W	YGR252W_YJR035W	1	0
YDL005C	YKR026C	YDL005C_YKR026C	1	0
YJL061W	YLR288C	YJL061W_YLR288C	1	0
YLR059C	YPL140C	YLR059C_YPL140C	1	0
YHR033W	YOL123W	YHR033W_YOL123W	1	0
YCR093W	YOR008C	YCR093W_YOR008C	1	0
YDL065C	YPR122W	YDL065C_YPR122W	1	0
YLR288C	YMR167W	YLR288C_YMR167W	1	0
YDL140C	YNL132W	YDL140C_YNL132W	1	0
YBL089W	YGR117C	YBL089W_YGR117C	1	0
YBR055C	YLR457C	YBR055C_YLR457C	1	0
YML081C-A	YOR078W	YML081C-A_YOR078W	1	0
YKR038C	YNL182C	YKR038C_YNL182C	1	0
YGR040W	YPR184W	YGR040W_YPR184W	1	0
YBR093C	YNL155W	YBR093C_YNL155W	1	0
YJL094C	YMR049C	YJL094C_YMR049C	1	0
YNL113W	YOL004W	YNL113W_YOL004W	1	0
YEL043W	YKL022C	YEL043W_YKL022C	1	0
YMR147W	YNL261W	YMR147W_YNL261W	1	0
YHR158C	YJL084C	YHR158C_YJL084C	1	0
YKR014C	YPR154W	YKR014C_YPR154W	1	0
YKL020C	YOR036W	YKL020C_YOR036W	1	0
